concept_id,concept_code,privacy_rule,vocabulary_id,date_added
45551440,T74.12XA,assault/homicide,icd10cm,2024-03-08
45551441,T74.21XD,assault/homicide,icd10cm,2024-03-08
45551444,T76.31XS,assault/homicide,icd10cm,2024-03-08
45551831,W05.1XXA,motor vehicle accident,icd10cm,2024-03-08
45552037,Y92.028,location,icd10cm,2024-03-08
45552038,Y92.031,location,icd10cm,2024-03-08
45552039,Y92.049,location,icd10cm,2024-03-08
45552040,Y92.096,location,icd10cm,2024-03-08
45552043,Y92.162,location,icd10cm,2024-03-08
45552046,Y92.411,location,icd10cm,2024-03-08
45552093,Z63.31,military_operations,icd10cm,2024-03-08
45553623,O9A.319,assault/homicide,icd10cm,2024-03-08
45556215,T74.01XA,assault/homicide,icd10cm,2024-03-08
45556216,T74.22XA,assault/homicide,icd10cm,2024-03-08
45556219,T76.91XD,assault/homicide,icd10cm,2024-03-08
45556581,W05.1XXD,motor vehicle accident,icd10cm,2024-03-08
45556782,Y92.013,location,icd10cm,2024-03-08
45556783,Y92.016,location,icd10cm,2024-03-08
45556784,Y92.039,location,icd10cm,2024-03-08
45556785,Y92.041,location,icd10cm,2024-03-08
45556787,Y92.098,location,icd10cm,2024-03-08
45556788,Y92.120,location,icd10cm,2024-03-08
45556790,Y92.192,location,icd10cm,2024-03-08
45556793,Y92.481,location,icd10cm,2024-03-08
45556794,Y92.482,location,icd10cm,2024-03-08
45556796,Y92.810,motor vehicle accident,icd10cm,2024-03-08
45556806,Y99.1,military_operations,icd10cm,2024-03-08
45560993,T74.01XD,assault/homicide,icd10cm,2024-03-08
45560994,T74.11XD,assault/homicide,icd10cm,2024-03-08
45560998,T76.02XA,assault/homicide,icd10cm,2024-03-08
45561000,T76.31XD,assault/homicide,icd10cm,2024-03-08
45561001,T76.32XA,assault/homicide,icd10cm,2024-03-08
45561002,T76.91XA,assault/homicide,icd10cm,2024-03-08
45561587,Y92.003,location,icd10cm,2024-03-08
45561590,Y92.142,location,icd10cm,2024-03-08
45561593,Y92.199,location,icd10cm,2024-03-08
45561597,Y92.410,location,icd10cm,2024-03-08
45561599,Y92.814,motor vehicle accident,icd10cm,2024-03-08
45561610,Z04.71,assault/homicide,icd10cm,2024-03-08
45566373,Y92.048,location,icd10cm,2024-03-08
45566374,Y92.112,location,icd10cm,2024-03-08
45566377,Y92.190,location,icd10cm,2024-03-08
45566378,Y92.193,location,icd10cm,2024-03-08
45566379,Y92.197,location,icd10cm,2024-03-08
45566380,Y92.210,location,icd10cm,2024-03-08
45566381,Y92.212,location,icd10cm,2024-03-08
45566385,Y92.813,motor vehicle accident,icd10cm,2024-03-08
45566446,Z62.810,assault/homicide,icd10cm,2024-03-08
45570668,T74.02XA,assault/homicide,icd10cm,2024-03-08
45570670,T74.31XD,assault/homicide,icd10cm,2024-03-08
45570671,T74.32XA,assault/homicide,icd10cm,2024-03-08
45571289,Y92.009,location,icd10cm,2024-03-08
45571290,Y92.011,location,icd10cm,2024-03-08
45571291,Y92.091,location,icd10cm,2024-03-08
45571292,Y92.093,location,icd10cm,2024-03-08
45571293,Y92.122,location,icd10cm,2024-03-08
45571294,Y92.139,location,icd10cm,2024-03-08
45571294,Y92.139,military_operations,icd10cm,2024-03-08
